"iso","country","planted_forest__ha","primary_forest__ha","regenerated_forest__ha","fao_treecover__ha","area_ha"
"MMR","Myanmar",427090,3192000,28117630,28543890,65308000
"NAM","Namibia",0,"",6638900,6638900,82329000
"NRU","Nauru",0,0,0,0,2000
"NPL","Nepal",220600,526000,5741430,5962030,14335000
"NLD","Netherlands (Kingdom of the)",331580,0,37920,369500,3369000
"NCL","New Caledonia",10390,337600,827730,838020,1828000
"NZL","New Zealand",2084480,1971000,7808100,9892590,26331000
"NIC","Nicaragua",66260,"",3341270,3407530,12034000
"NER","Niger",122500,2.2E+5,957200,1079700,1.2667E+8
"NGA","Nigeria",216270,"",21410680,21626950,91077000
"NIU","Niue",10,5400,18870,18870,26000
"NFK","Norfolk Island",50,"",440,490,4000
"MKD","North Macedonia","","","",1001490,2522000
"MNP","Northern Mariana Islands",0,"",24360,24360,46000
"NOR","Norway",108000,2.0E+5,12072000,1.218E+7,30413000
"OMN","Oman",500,"",2000,2500,3.095E+7
"PAK","Pakistan",253900,0,3472000,3725900,77088000
"PLW","Palau","","","",41410,46000
"PSE","Palestine","","","",10140,602000
"PAN","Panama",65740,"",4148100.0000000005,4213840,7434000
"PNG","Papua New Guinea",60750,"",35795570,35855760,45286000
"PRY","Paraguay",155660,"",15946600,16102260,3.973E+7
"PER","Peru",1088470,"",71241900,72330370,1.2800E+8
"PHL","Philippines",380520,861000,6808070,7188590,29817000
"PCN","Pitcairn","","","",3500,5000
"POL","Poland","",0,"",9483000,30619000
"PRT","Portugal",2256000,"",1056000,3312000,9161000
"PRI","Puerto Rico",0,0,496330,496330,887000
"QAT","Qatar",0,0,0,0,1161000
"KOR","Republic of Korea",2263320,"",4023680,6287000,9744500
"MDA","Republic of Moldova",218800,"",167700,386500,3288000
"ROU","Romania",895070,165230,6033980,6929050,23008000
"RUS","Russian Federation",18880100,255211500,796431500,815311600,1637687000
"RWA","Rwanda",1.5E+5,"",126000,276000,2467000
"REU","Réunion",10700,53000,87740,98440,251000
"BLM","Saint Barthélemy",0,0,170,170,2000
"SHN","Saint Helena",0,"",2000,2000,39000
"KNA","Saint Kitts and Nevis","","","",11000,26000
"LCA","Saint Lucia",3150,"",17450,20770,61000
"SPM","Saint Pierre and Miquelon",0,"",1220,1220,23000
"VCT","Saint Vincent and the Grenadines",300,"",28240,28540,39000
"MAF","Saint-Martin (French Part)",0,0,1240,1240,5000
"WSM","Samoa",5040,"",156700,161670,283000
"SMR","San Marino",0,0,1000,1000,6000
"STP","Sao Tome and Principe",0,28000,51900,51900,96000
"SAU","Saudi Arabia",0,3.6E+5,977000,977000,214969000
"SEN","Senegal",32000,2019340,8036160,8068160,19253000
"SRB","Serbia",115830,1000,2606820,2722650,8746000
"SYC","Seychelles",4900,"",28520,33700,46000
"SLE","Sierra Leone",21310,57000,2513570,2534880,7218000
"SGP","Singapore",0,"",15570,15570,71000
"SXM","Sint Maarten (Dutch part)",0,"",370,370,3400
"SVK","Slovakia",748540,10580,1177360,1925900,4808000
"SVN","Slovenia",45690,33600,1192140,1237830,2014000
"SLB","Solomon Islands",24270,"",2498700,2522970,2799000
"SOM","Somalia",3000,"",5977000,5.98E+6,62734000
"ZAF","South Africa",3143620,428000,13906470,17050090,121309000
"SSD","South Sudan",187900,"",6969100,7157000,63173000
"ESP","Spain",2590100,"",15982080,18572170,49966100
"LKA","Sri Lanka",249810,167000,1863210,2113020,6271000
"SDN","Sudan",1.3E+5,1283650,18229550,18359550,186665000
"SUR","Suriname",14150,14833290,15182140,15196290,1.560E+7
"SJM","Svalbard and Jan Mayen Islands",0,0,0,0,6.10E+6
"SWE","Sweden",13912000,2249000,14068000,2.798E+7,40731000
"CHE","Switzerland",148950,42860,1119960,1269110,3952000
"SYR","Syrian Arab Republic",211400,0,310680,522080.00000000006,18363000
"TJK","Tajikistan",117410,296000,306540,423800,13879000
"THA","Thailand",3537000,"",16336000,19873000,51089000
"TLS","Timor-Leste",0,"",921100,921100,1487000
"TGO","Togo",60700,"",1148630,1209270,5439000
"TKL","Tokelau",0,0,0,0,1000
"TON","Tonga",1000,4000,7950,8950,72000
"TTO","Trinidad and Tobago",80700,62400,147490,228190,513000
"TUN","Tunisia",214480,0,488280,702730,15536000
"TKM","Turkmenistan",0,104000,4127000,4127000,46993000
"TCA","Turks and Caicos Islands",0,"",10520,10520,95000
"TUV","Tuvalu",0,0,1000,1000,3000
"TUR","Türkiye",717340,0,21503020,22220360,76963000
"UGA","Uganda",465160,"",1872750,2337900,20052000
"UKR","Ukraine",4848000,59000,4842000,9.69E+6,57929000
"ARE","United Arab Emirates","",0,"",317300,7102000
"GBR","United Kingdom of Great Britain and Northern Ireland",2846000,0,344000,3.19E+6,24193000
"TZA","United Republic of Tanzania",553040,28508000,45191970,45745000,8.858E+7
"VIR","United States Virgin Islands",0,"",19910,19910,35000
"USA","United States of America",27521000,7.530E+7,282274000,309795000,914742000
"URY","Uruguay",1182000,3.4E+5,849000,2031000,17502000
"UZB","Uzbekistan",2266680,210300,1422980,3689660,4.254E+7
"VUT","Vanuatu","",205000,"",442300,1219000
"VEN","Venezuela (Bolivarian Republic of)",1358150,44872750,44872750,46230900,88205000
"VNM","Viet Nam",4349370,8E+4,10293720,14643090,31007000
"WLF","Wallis and Futuna Islands",630,"",5160,5830,14000
"ESH","Western Sahara",0,"",665070,665070,2.660E+7
"YEM","Yemen",0,0,549000,549000,52797000
"ZMB","Zambia",52090,"",44761910,44814030,74339000
"ZWE","Zimbabwe",108000,"",17336580,17444580,38685000
