iso,country,planted_forest__ha,primary_forest__ha,regenerated_forest__ha,fao_treecover__ha,area_ha
GUY,Guyana,0,9477000,18519810,18519810,19685000
HTI,Haiti,28000,,350380,378380,2756000
VAT,Holy See,0,0,0,0,0
HND,Honduras,0,,6575470,6575470,11189000
HUN,Hungary,793790,0,1252600,2046390,9053000
ISL,Iceland,33300,0,11370,44670,10025000
IND,India,12778690,15701000,56717310,69496000,297319000
IDN,Indonesia,4186500,45597000,95472700,99659200,187752000
IRN,Iran (Islamic Republic of),941000,2.00E+05,9750980,10691980,162876000
IRQ,Iraq,67000,0,758000,825000,43412800
IRL,Ireland,639580,0,80800,720380,6889000
IMN,Isle of Man,,,,3460,57000
ISR,Israel,88000,0,66000,154000,2164000
ITA,Italy,634260,93000,8393770,9028040,29414000
JAM,Jamaica,8290,85360,550160,558450,1083000
JPN,Japan,10292000,4.77E+06,14674000,24966000,36456000
JEY,Jersey,,0,,600,12000
JOR,Jordan,46900,0,50600,97500,8878000
KAZ,Kazakhstan,444450,30500,2637730,3082180,2.70E+08
KEN,Kenya,152790,,3463550,3616340,56914000
KIR,Kiribati,,,,1180,81000
KWT,Kuwait,6250,,0,6250,1782000
KGZ,Kyrgyzstan,184760,455200,1044920,1229680,1.92E+07
LAO,Lao People's Democratic Republic,1595750,,15344750,16940500,2.31E+07
LVA,Latvia,407660,14920,2964460,3372120,6218000
LBN,Lebanon,340,,137010,137350,1023000
LSO,Lesotho,8670,,25850,34520,3036000
LBR,Liberia,18420,,7901620,7920040,9632000
LBY,Libya,217000,,0,217000,175954000
LIE,Liechtenstein,600,1500,6100,6700,16000
LTU,Lithuania,535770,26000,1634230,2.17E+06,6265000
LUX,Luxembourg,3.00E+04,0,58700,88700,243000
MDG,Madagascar,415000,3036000,12146980,12561980,5.82E+07
MWI,Malawi,96800,734000,2564900,2661700,9428000
MYS,Malaysia,1308910,1086160,17638740,18947650,32855000
MDV,Maldives,0,,820,820,3.00E+04
MLI,Mali,5.30E+05,0,12766000,13296000,122019000
MLT,Malta,0,0,350,350,32000
MHL,Marshall Islands,3130,5760,6270,9400,18000
MTQ,Martinique,2680,2800,47610,50290,106000
MRT,Mauritania,32430,0,334810,367240,1.03E+08
MUS,Mauritius,18050,20300,20310,38390,203000
MYT,Mayotte,460,,13950,14410,37000
MEX,Mexico,66510,32543070,66876790,66943310,194395000
FSM,Micronesia (Federated States of),14210,48370,49920,64130,7.00E+04
MCO,Monaco,0,0,0,0,0
MNG,Mongolia,10120,0,14173700,14183900,155356000
MNE,Montenegro,8000,,819000,827000,1345000
MSR,Montserrat,0,,2500,2500,1.00E+04
MAR,Morocco,523100,0,5151470,5674570,4.46E+07
MOZ,Mozambique,54640,,38917500,38972140,78638000
MMR,Myanmar,305240,3192000,31134920,31441000,65308000
NAM,Namibia,0,,7348990,7348990,82329000
NRU,Nauru,0,0,0,0,2000
NPL,Nepal,220600,526000,5741430,5962030,14335000
NLD,Netherlands (Kingdom of the),332610,0,40870,373480,3369000
NCL,New Caledonia,10390,337600,829240,839020,1828000
NZL,New Zealand,2024320,2152000,7823800,9848120,26331000
NIC,Nicaragua,15960,,4172190,4188150,12034000
NER,Niger,98000,2.20E+05,1105900,1203900,1.27E+08
NGA,Nigeria,232600,,23027380,23259980,91077000
NIU,Niue,10,5400,18770,18770,26000
NFK,Norfolk Island,50,,440,490,4000
MKD,North Macedonia,,,,960430,2522000
MNP,Northern Mariana Islands,0,,30320,30320,46000
NOR,Norway,115000,2.00E+05,11987000,12102000,30413000
OMN,Oman,1000,,2000,3000,3.10E+07
PAK,Pakistan,253900,0,3839830,4093730,77088000
PLW,Palau,,,,40560,46000
PSE,Palestine,,,,9950,602000
PAN,Panama,55890,,4272100,4327990,7434000
PNG,Papua New Guinea,60750,,36117920,36178890,45286000
PRY,Paraguay,50800,,19519410,19570210,3.97E+07
PER,Peru,969920,,73079880,74049800,1.28E+08
PHL,Philippines,350550,861000,6489160,6839720,29817000
PCN,Pitcairn,,,,3500,5000
POL,Poland,,0,,9329000,30619000
PRT,Portugal,2222000,22000,1.03E+06,3252000,9161000
PRI,Puerto Rico,0,0,491450,491450,887000
QAT,Qatar,0,0,0,0,1161000
KOR,Republic of Korea,2235450,,4151550,6387000,9744500
MDA,Republic of Moldova,212000,,162500,374500,3288000
ROU,Romania,5.40E+05,127700,5975000,6515000,23008000
RUS,Russian Federation,19612900,271855800,795522700,815135600,1637687000
RWA,Rwanda,138010,,126000,265000,2467000
REU,Réunion,10700,53000,83290,93990,251000
BLM,Saint Barthélemy,0,0,170,170,2000
SHN,Saint Helena,0,,2000,2000,39000
KNA,Saint Kitts and Nevis,,,,11000,26000
LCA,Saint Lucia,3150,,17450,20770,61000
SPM,Saint Pierre and Miquelon,0,,1440,1440,23000
VCT,Saint Vincent and the Grenadines,190,,28350,28540,39000
MAF,Saint-Martin (French Part),0,0,1240,1240,5000
WSM,Samoa,5050,,161430,166490,283000
SMR,San Marino,0,0,1000,1000,6000
STP,Sao Tome and Principe,0,28000,58100,58100,96000
SAU,Saudi Arabia,0,3.60E+05,977000,977000,214969000
SEN,Senegal,32000,2100620,8436160,8468160,19253000
SRB,Serbia,180400,1000,2533000,2713000,8746000
SYC,Seychelles,4900,,28520,33700,46000
SLE,Sierra Leone,14580,113000,2717580,2732160,7218000
SGP,Singapore,0,,17740,17740,71000
SXM,Sint Maarten (Dutch part),0,,370,370,3400
SVK,Slovakia,741200,10580,1176710,1917910,4808000
SVN,Slovenia,67200,49000,1179800,1247000,2014000
SLB,Solomon Islands,26650,,2503630,2530280,2799000
SOM,Somalia,3000,,6744500,6747500,62734000
ZAF,South Africa,3143620,497000,14270470,17414090,121309000
SSD,South Sudan,187900,,6969100,7157000,63173000
ESP,Spain,2596490,,15948850,18545340,49966100
LKA,Sri Lanka,205820,167000,1897800,2103620,6271000
SDN,Sudan,127000,1405740,19954170,20081170,186665000
SUR,Suriname,14150,14936870,15285710,15299860,1.56E+07
SJM,Svalbard and Jan Mayen Islands,0,0,0,0,6.10E+06
SWE,Sweden,12481000,2365000,15592000,28073000,40731000
CHE,Switzerland,160530,42860,1074000,1234720,3952000
SYR,Syrian Arab Republic,196400,0,295680,492080,18363000
TJK,Tajikistan,113160,296000,296840,4.10E+05,13879000
THA,Thailand,3242000,,16831000,20073000,51089000
TLS,Timor-Leste,0,,935100,935100,1487000
TGO,Togo,47330,,1191540,1238870,5439000
TKL,Tokelau,0,0,0,0,1000
TON,Tonga,1000,4000,7950,8950,72000
TTO,Trinidad and Tobago,80700,62400,150900,232410,513000
TUN,Tunisia,197720,0,489710,687430,15536000
TKM,Turkmenistan,0,104000,4127000,4127000,46993000
TCA,Turks and Caicos Islands,0,,10520,10520,95000
TUV,Tuvalu,0,0,1000,1000,3000
TUR,Türkiye,622010,0,20461070,21083080,76963000
UGA,Uganda,366760,,2383660,2750420,20052000
UKR,Ukraine,4817000,59000,4731000,9548000,57929000
ARE,United Arab Emirates,,0,,317300,7102000
GBR,United Kingdom of Great Britain and Northern Ireland,2715000,0,344000,3059000,24193000
TZA,United Republic of Tanzania,553040,28508000,49396970,49950010,8.86E+07
VIR,United States Virgin Islands,0,,18430,18430,35000
USA,United States of America,25564000,75294000,283156000,3.09E+08,914742000
URY,Uruguay,979100,301000,752200,1731300,17502000
UZB,Uzbekistan,1852270,210300,1497330,3349600,4.25E+07
VUT,Vanuatu,,205000,,442300,1219000
VEN,Venezuela (Bolivarian Republic of),989220,46515780,46515780,47505000,88205000
VNM,Viet Nam,3083260,8.00E+04,10304800,13388060,31007000
WLF,Wallis and Futuna Islands,540,,5250,5820,14000
ESH,Western Sahara,0,,665110,665110,2.66E+07
YEM,Yemen,0,0,549000,549000,52797000
ZMB,Zambia,54470,,46641530,46696000,74339000
ZWE,Zimbabwe,108000,,17797280,17905280,38685000
